Time	Node	Interface	Type	Packets	Kilobytes
2	324	30	In	16580	9325
2	324	30	Out	8272	323
2	324	30	Drop	0	0
2	324	34	In	8272	323
2	324	34	Out	16580	9325
2	324	34	Drop	0	0
2	481	1	In	8264	322
2	481	1	Out	16624	9350
2	481	1	Drop	0	0
2	485	1	In	16561	9315
2	485	1	Out	8280	323
2	485	1	Drop	0	0
3	324	30	In	20616	11596
3	324	30	Out	10305	402
3	324	30	Drop	0	0
3	324	34	In	10305	402
3	324	34	Out	20616	11596
3	324	34	Drop	0	0
3	481	1	In	10303	402
3	481	1	Out	20625	11601
3	481	1	Drop	0	0
3	485	1	In	20613	11595
3	485	1	Out	10307	402
3	485	1	Drop	0	0
4	324	30	In	21424	12051
4	324	30	Out	10711	418
4	324	30	Drop	0	0
4	324	34	In	10711	418
4	324	34	Out	21424	12051
4	324	34	Drop	0	0
4	481	1	In	10711	418
4	481	1	Out	21425	12051
4	481	1	Drop	0	0
4	485	1	In	21424	12051
4	485	1	Out	10711	418
4	485	1	Drop	0	0
5	324	30	In	21586	12142
5	324	30	Out	10793	421
5	324	30	Drop	0	0
5	324	34	In	10793	421
5	324	34	Out	21586	12142
5	324	34	Drop	0	0
5	481	1	In	10793	421
5	481	1	Out	21587	12142
5	481	1	Drop	0	0
5	485	1	In	21585	12141
5	485	1	Out	10792	421
5	485	1	Drop	0	0
6	324	30	In	21618	12160
6	324	30	Out	10809	422
6	324	30	Drop	0	0
6	324	34	In	10809	422
6	324	34	Out	21618	12160
6	324	34	Drop	0	0
6	481	1	In	10809	422
6	481	1	Out	21618	12160
6	481	1	Drop	0	0
6	485	1	In	21618	12160
6	485	1	Out	10809	422
6	485	1	Drop	0	0
7	324	30	In	21625	12164
7	324	30	Out	10812	422
7	324	30	Drop	0	0
7	324	34	In	10812	422
7	324	34	Out	21625	12164
7	324	34	Drop	0	0
7	481	1	In	10812	422
7	481	1	Out	21624	12163
7	481	1	Drop	0	0
7	485	1	In	21625	12164
7	485	1	Out	10812	422
7	485	1	Drop	0	0
8	324	30	In	21625	12164
8	324	30	Out	10813	422
8	324	30	Drop	0	0
8	324	34	In	10813	422
8	324	34	Out	21625	12164
8	324	34	Drop	0	0
8	481	1	In	10813	422
8	481	1	Out	21627	12165
8	481	1	Drop	0	0
8	485	1	In	21626	12164
8	485	1	Out	10813	422
8	485	1	Drop	0	0
9	324	30	In	21626	12164
9	324	30	Out	10813	422
9	324	30	Drop	0	0
9	324	34	In	10813	422
9	324	34	Out	21626	12164
9	324	34	Drop	0	0
9	481	1	In	10813	422
9	481	1	Out	21626	12164
9	481	1	Drop	0	0
9	485	1	In	21626	12164
9	485	1	Out	10813	422
9	485	1	Drop	0	0
10	324	30	In	21626	12164
10	324	30	Out	10813	422
10	324	30	Drop	0	0
10	324	34	In	10813	422
10	324	34	Out	21626	12164
10	324	34	Drop	0	0
10	481	1	In	10813	422
10	481	1	Out	21627	12165
10	481	1	Drop	0	0
10	485	1	In	21626	12164
10	485	1	Out	10813	422
10	485	1	Drop	0	0
11	324	30	In	21626	12164
11	324	30	Out	10813	422
11	324	30	Drop	0	0
11	324	34	In	10813	422
11	324	34	Out	21626	12164
11	324	34	Drop	0	0
11	481	1	In	10813	422
11	481	1	Out	21626	12164
11	481	1	Drop	0	0
11	485	1	In	21626	12164
11	485	1	Out	10813	422
11	485	1	Drop	0	0
12	324	30	In	21626	12164
12	324	30	Out	10813	422
12	324	30	Drop	0	0
12	324	34	In	10813	422
12	324	34	Out	21626	12164
12	324	34	Drop	0	0
12	481	1	In	10813	422
12	481	1	Out	21626	12164
12	481	1	Drop	0	0
12	485	1	In	21626	12164
12	485	1	Out	10813	422
12	485	1	Drop	0	0
13	324	30	In	21626	12164
13	324	30	Out	10813	422
13	324	30	Drop	0	0
13	324	34	In	10813	422
13	324	34	Out	21626	12164
13	324	34	Drop	0	0
13	481	1	In	10813	422
13	481	1	Out	21627	12165
13	481	1	Drop	0	0
13	485	1	In	21626	12164
13	485	1	Out	10813	422
13	485	1	Drop	0	0
14	324	30	In	21626	12164
14	324	30	Out	10813	422
14	324	30	Drop	0	0
14	324	34	In	10813	422
14	324	34	Out	21626	12164
14	324	34	Drop	0	0
14	481	1	In	10813	422
14	481	1	Out	21626	12164
14	481	1	Drop	0	0
14	485	1	In	21626	12164
14	485	1	Out	10813	422
14	485	1	Drop	0	0
15	324	30	In	21626	12164
15	324	30	Out	10813	422
15	324	30	Drop	0	0
15	324	34	In	10813	422
15	324	34	Out	21626	12164
15	324	34	Drop	0	0
15	481	1	In	10813	422
15	481	1	Out	21627	12165
15	481	1	Drop	0	0
15	485	1	In	21626	12164
15	485	1	Out	10813	422
15	485	1	Drop	0	0
16	324	30	In	21626	12164
16	324	30	Out	10813	422
16	324	30	Drop	0	0
16	324	34	In	10813	422
16	324	34	Out	21626	12164
16	324	34	Drop	0	0
16	481	1	In	10813	422
16	481	1	Out	21626	12164
16	481	1	Drop	0	0
16	485	1	In	21626	12164
16	485	1	Out	10813	422
16	485	1	Drop	0	0
17	324	30	In	21626	12164
17	324	30	Out	10813	422
17	324	30	Drop	0	0
17	324	34	In	10813	422
17	324	34	Out	21626	12164
17	324	34	Drop	0	0
17	481	1	In	10813	422
17	481	1	Out	21626	12164
17	481	1	Drop	0	0
17	485	1	In	21626	12164
17	485	1	Out	10813	422
17	485	1	Drop	0	0
18	324	30	In	21626	12164
18	324	30	Out	10813	422
18	324	30	Drop	0	0
18	324	34	In	10813	422
18	324	34	Out	21626	12164
18	324	34	Drop	0	0
18	481	1	In	10813	422
18	481	1	Out	21627	12165
18	481	1	Drop	0	0
18	485	1	In	21626	12164
18	485	1	Out	10813	422
18	485	1	Drop	0	0
19	324	30	In	21626	12164
19	324	30	Out	10813	422
19	324	30	Drop	0	0
19	324	34	In	10813	422
19	324	34	Out	21626	12164
19	324	34	Drop	0	0
19	481	1	In	10813	422
19	481	1	Out	21626	12164
19	481	1	Drop	0	0
19	485	1	In	21626	12164
19	485	1	Out	10814	422
19	485	1	Drop	0	0
20	324	30	In	4515	2514
20	324	30	Out	2252	87
20	324	30	Drop	0	0
20	324	34	In	2252	87
20	324	34	Out	4515	2514
20	324	34	Drop	0	0
20	481	1	In	2260	88
20	481	1	Out	4471	2489
20	481	1	Drop	0	0
20	485	1	In	4533	2524
20	485	1	Out	2242	87
20	485	1	Drop	0	0
21	324	30	In	902	502
21	324	30	Out	450	17
21	324	30	Drop	0	0
21	324	34	In	450	17
21	324	34	Out	902	502
21	324	34	Drop	0	0
21	481	1	In	451	17
21	481	1	Out	894	497
21	481	1	Drop	0	0
21	485	1	In	906	504
21	485	1	Out	448	17
21	485	1	Drop	0	0
